소재지,년도,안정화지수
종로구,2010,0.54
중구,2010,1.38
용산구,2010,2.53
성동구,2010,1.04
광진구,2010,1
동대문구,2010,0.97
중랑구,2010,0.21
성북구,2010,1.64
강북구,2010,0.2
도봉구,2010,3.72
노원구,2010,4.37
은평구,2010,1.34
서대문구,2010,0.21
마포구,2010,0.33
양천구,2010,0.61
강서구,2010,2.93
구로구,2010,2.19
금천구,2010,1.45
영등포구,2010,1.56
동작구,2010,0.32
관악구,2010,0.64
서초구,2010,0.22
강남구,2010,0.75
송파구,2010,0.52
강동구,2010,0.21
종로구,2011,2.26
중구,2011,0.84
용산구,2011,1.4
성동구,2011,0.32
광진구,2011,5.83
동대문구,2011,1.49
중랑구,2011,0.52
성북구,2011,0.1
강북구,2011,0.91
도봉구,2011,0
노원구,2011,1.06
은평구,2011,0.21
서대문구,2011,1.76
마포구,2011,0.33
양천구,2011,0.71
강서구,2011,0.83
구로구,2011,0.11
금천구,2011,2.21
영등포구,2011,0.11
동작구,2011,0.97
관악구,2011,2.9
서초구,2011,1.2
강남구,2011,0.11
송파구,2011,1.47
강동구,2011,1.57
종로구,2012,0.63
중구,2012,4.45
용산구,2012,2.43
성동구,2012,4.93
광진구,2012,2.7
동대문구,2012,3.46
중랑구,2012,2.59
성북구,2012,1.87
강북구,2012,2.51
도봉구,2012,6.14
노원구,2012,6.34
은평구,2012,1.46
서대문구,2012,4.38
마포구,2012,1.09
양천구,2012,5.34
강서구,2012,5.88
구로구,2012,3.19
금천구,2012,3.19
영등포구,2012,4.34
동작구,2012,4.81
관악구,2012,3.97
서초구,2012,4.09
강남구,2012,9.6
송파구,2012,6.74
강동구,2012,10.31
종로구,2013,0.42
중구,2013,0.43
용산구,2013,3.01
성동구,2013,1.77
광진구,2013,3.74
동대문구,2013,2.39
중랑구,2013,0.11
성북구,2013,1.8
강북구,2013,2.06
도봉구,2013,3.16
노원구,2013,1.61
은평구,2013,1.27
서대문구,2013,1.7
마포구,2013,0.22
양천구,2013,2.93
강서구,2013,1.43
구로구,2013,1.32
금천구,2013,1.7
영등포구,2013,2.1
동작구,2013,0.56
관악구,2013,0.11
서초구,2013,1.8
강남구,2013,0.95
송파구,2013,0.78
강동구,2013,0.46
종로구,2014,0.21
중구,2014,1.2
용산구,2014,0.54
성동구,2014,1.12
광진구,2014,1.55
동대문구,2014,1
중랑구,2014,0.64
성북구,2014,0.76
강북구,2014,0
도봉구,2014,1.2
노원구,2014,2.68
은평구,2014,0.86
서대문구,2014,0.87
마포구,2014,1.77
양천구,2014,1.01
강서구,2014,0.67
구로구,2014,0
금천구,2014,0.43
영등포구,2014,1.47
동작구,2014,2.01
관악구,2014,0.33
서초구,2014,1.71
강남구,2014,2.65
송파구,2014,1.23
강동구,2014,1.96
종로구,2015,2.13
중구,2015,2.9
용산구,2015,1.94
성동구,2015,5.67
광진구,2015,5.14
동대문구,2015,6.06
중랑구,2015,2.63
성북구,2015,3.1
강북구,2015,2.52
도봉구,2015,4.09
노원구,2015,7.38
은평구,2015,2.45
서대문구,2015,2.69
마포구,2015,2.83
양천구,2015,4.42
강서구,2015,4.93
구로구,2015,6.12
금천구,2015,3.23
영등포구,2015,4.68
동작구,2015,3.4
관악구,2015,3.14
서초구,2015,6.18
강남구,2015,7.86
송파구,2015,4.42
강동구,2015,7.13
종로구,2016,1.46
중구,2016,1.46
용산구,2016,2.11
성동구,2016,1.68
광진구,2016,1.25
동대문구,2016,1.45
중랑구,2016,1.03
성북구,2016,1.77
강북구,2016,1.13
도봉구,2016,1.45
노원구,2016,2.64
은평구,2016,1.77
서대문구,2016,2.09
마포구,2016,2.33
양천구,2016,2.54
강서구,2016,2.99
구로구,2016,1.99
금천구,2016,1.57
영등포구,2016,2.34
동작구,2016,2.22
관악구,2016,2.21
서초구,2016,2.86
강남구,2016,4.46
송파구,2016,1.38
강동구,2016,2.22
종로구,2017,2.97
중구,2017,3.4
용산구,2017,3.83
성동구,2017,4.76
광진구,2017,3.59
동대문구,2017,2.56
중랑구,2017,1.83
성북구,2017,2.45
강북구,2017,1.52
도봉구,2017,2.14
노원구,2017,3.19
은평구,2017,2.45
서대문구,2017,2.77
마포구,2017,3.93
양천구,2017,4.65
강서구,2017,3.83
구로구,2017,3.08
금천구,2017,2.88
영등포구,2017,4.89
동작구,2017,4.04
관악구,2017,2.88
서초구,2017,4.01
강남구,2017,5.63
송파구,2017,6.06
강동구,2017,4.34
종로구,2018,5.78
중구,2018,7.97
용산구,2018,9.36
성동구,2018,7.9
광진구,2018,4.66
동대문구,2018,5.99
중랑구,2018,4.19
성북구,2018,7.07
강북구,2018,4.69
도봉구,2018,4.09
노원구,2018,3.79
은평구,2018,4.99
서대문구,2018,5.88
마포구,2018,9.86
양천구,2018,5.92
강서구,2018,6.19
구로구,2018,4.89
금천구,2018,3.4
영등포구,2018,7.74
동작구,2018,7.67
관악구,2018,3.7
서초구,2018,7.12
강남구,2018,7.79
송파구,2018,7.09
강동구,2018,8.92
종로구,2019,1.22
중구,2019,1.29
용산구,2019,1.64
성동구,2019,1.19
광진구,2019,1.8
동대문구,2019,1.13
중랑구,2019,0.96
성북구,2019,1.12
강북구,2019,1.24
도봉구,2019,0.67
노원구,2019,0.58
은평구,2019,0.76
서대문구,2019,1.22
마포구,2019,1.72
양천구,2019,1.3
강서구,2019,0.56
구로구,2019,1.24
금천구,2019,1.45
영등포구,2019,1.93
동작구,2019,1.67
관악구,2019,0.96
서초구,2019,1.39
강남구,2019,1.92
송파구,2019,2.3
강동구,2019,0.27
종로구,2020,2.14
중구,2020,2.28
용산구,2020,2.69
성동구,2020,2.98
광진구,2020,2.7
동대문구,2020,3.54
중랑구,2020,3.13
성북구,2020,3.13
강북구,2020,3.48
도봉구,2020,3.14
노원구,2020,4.68
은평구,2020,2.45
서대문구,2020,2.51
마포구,2020,3.48
양천구,2020,2.85
강서구,2020,2.43
구로구,2020,3.57
금천구,2020,2.48
영등포구,2020,3.25
동작구,2020,2.37
관악구,2020,2.96
서초구,2020,0.82
강남구,2020,0.63
송파구,2020,1.44
강동구,2020,2.45
종로구,2021,6.38
중구,2021,8.55
용산구,2021,9.34
성동구,2021,10.36
광진구,2021,7.7
동대문구,2021,7.73
중랑구,2021,5.24
성북구,2021,7.85
강북구,2021,7
도봉구,2021,3.69
노원구,2021,3.65
은평구,2021,4.6
서대문구,2021,6.99
마포구,2021,10.94
양천구,2021,8.05
강서구,2021,5.84
구로구,2021,6.53
금천구,2021,4.65
영등포구,2021,9.89
동작구,2021,7.73
관악구,2021,4.82
서초구,2021,4.97
강남구,2021,6.24
송파구,2021,6.74
강동구,2021,8.06
종로구,2022,2.53
중구,2022,5.65
용산구,2022,2.41
성동구,2022,3.04
광진구,2022,1.86
동대문구,2022,4.78
중랑구,2022,4.08
성북구,2022,6.58
강북구,2022,3.42
도봉구,2022,7.96
노원구,2022,11.09
은평구,2022,5.12
서대문구,2022,4.98
마포구,2022,4.45
양천구,2022,3.6
강서구,2022,4.46
구로구,2022,3.98
금천구,2022,4
영등포구,2022,4.76
동작구,2022,3.47
관악구,2022,3.89
서초구,2022,2
강남구,2022,3.71
송파구,2022,6.08
강동구,2022,4.62
